time y_true y_pred u u_adv diff_y diff_u
113 1.3287577538398483 1.4890647 -1.1807257081207196 -1.2807256 -0.16030693961107945 -0.09999989021454647
114 1.500990445407207 1.4906378 -1.1833993795530315 -1.0833995 0.010352666171367098 0.09999984532756767
115 1.572420351205207 1.5593536 -1.171981747508989 -1.0719818 0.013066761193610388 0.0999999598274095
116 1.596398406694609 1.5603323 -1.176493234109823 -1.0764934 0.03606610841580049 0.09999985165590464
117 1.5996466800607505 1.5613818 -1.1737248313090538 -1.073725 0.03826486319673683 0.09999984618637314
118 1.5956086400227287 1.561883 2.1106736400536588 2.0106738 0.033725667305443574 -0.09999987868586091
119 1.012953398230795 1.5628595 2.1306824767182975 2.2306824 -0.5499061369864902 0.09999989632857753
120 -0.04372421308359004 1.5638101 2.1438044372160787 2.2438045 -1.607534323175753 0.10000001758738808
121 -0.774937955868508 1.5647593 2.177114876886889 2.2771149 -2.3396972103240743 0.09999999127717363
122 -1.1509783265786477 1.5655754 2.153246955280245 2.2532468 -2.716553687830479 0.09999982892996018
123 -1.3159705677466256 1.5663288 2.147718593627403 2.2477186 -2.882299331708418 0.09999997898917412
124 -1.3812559290441868 1.5670476 2.152580106296184 2.25258 -2.94830352502197 0.09999982114827421
125 -1.403563943138274 -1.3989356 0.27975982876371236 0.1797598 -0.004628386726530875 -0.10000002832959981
126 -1.347342625387235 -1.3988001 0.3076406862685507 0.40764058 0.05145750927157855 0.09999989009405919
127 -1.240692209549566 -1.3987107 0.25808791173210954 0.3580878 0.15801851814208434 0.09999989616164351
128 -1.1243775069128201 -1.3986471 0.25848633327476545 0.35848624 0.27426956301821015 0.0999999018669887
129 -1.0261662741844275 -1.3986027 0.27094582222261004 0.37094572 0.37243644989088986 0.09999989964209027
130 -0.955618501851815 -1.3985722 0.24598057040289412 0.3459805 0.4429537046453774 0.09999992481156816
131 -0.8969580023749223 -1.3985538 0.28404906251847684 0.38404897 0.5015958458916793 0.09999990603506625
132 -0.8666877314977648 -1.3985119 -0.8113395784213494 -0.71133965 0.5318241550989149 0.09999992588304984
133 -0.2938786921465305 -1.3984778 -0.816446635663738 -0.71644676 1.1045991005933375 0.09999987834714863
134 0.27377787953580657 -1.3984497 -0.8250462896980495 -0.7250464 1.6722275388833407 0.09999989344255633
135 0.6638226651051848 0.6401448 -0.8683106815485706 -0.7683108 0.023677840123495386 0.0999998962549915
136 0.9257413532468579 0.63987887 -0.8493349099781962 -0.9493348 0.28586248419015625 -0.09999989026518152
137 1.0826164821376651 0.63952243 -0.8370195074304754 -0.9370194 0.4430940488567203 -0.09999990031870065
138 1.174925114465058 0.6391258 -0.8273654588024545 -0.92736536 0.5357992904904487 -0.09999990384174107
139 1.2297104015651017 0.6389581 1.0047298255591608 1.1047298 0.5907523050608903 0.09999994605491391
140 0.5763885967872897 0.6390112 1.0196279606946188 0.919628 -0.06262260745541659 -0.09999993659336148
141 -0.13349222482447176 0.6390853 0.9827534091063321 0.8827535 -0.7725775176406339 -0.09999991770465977
142 -0.6015015073418047 0.6391195 0.9892533031207553 0.8892534 -1.240621013224068 -0.09999992520632661
143 -0.8803623158968477 0.6391617 0.9720596591383869 0.87205976 -1.5195240218676118 -0.09999989666051212
144 -1.040299525517458 0.6392742 0.9225533042011025 0.8225534 -1.6795737054529134 -0.0999999079761269
145 -1.1274831668148677 -1.1170046 0.9727523603331367 0.8727524 -0.010478533865038608 -0.09999993227832715
146 -1.1857318870153277 -1.1170282 1.613545828354697 1.5135459 -0.06870365062616757 -0.09999995757375224
147 -1.2804845725603626 -1.1170986 1.6345213820743283 1.5345215 -0.16338600269036752 -0.0999999215411862
148 -1.3396287989128544 -1.1171868 1.64628688768117 1.546287 -0.22244201416859166 -0.09999994710652405
149 -1.3706627419086768 -1.1172824 1.6208707117886796 1.5208708 -0.25338035131419434 -0.09999990700199746
150 -1.38587124667052 -1.1173842 1.6594364405267938 1.5594366 -0.2684870513427613 -0.09999988084966982
151 -1.3948132644749491 -1.1174877 1.634620196447508 1.5346203 -0.27732559548386027 -0.09999991141332831
152 -1.3992864620589933 -1.117594 1.6503901324203125 1.5503902 -0.28169245838162515 -0.09999988889003908
153 -1.402010739194626 -1.1175909 -0.9583736367346313 -1.0583736 -0.2844198349587861 -0.09999993370756843
154 -0.9947442102557456 -1.1175947 -0.9415587886504834 -0.8415589 0.12285050867735992 0.0999999149970715
155 -0.22321847054612906 -0.23500621 -0.9457587038997216 -0.8457588 0.011787742642042326 0.0999999081615014
156 0.4037204020478741 -0.23213482 -0.9740515697231 -0.8740517 0.6358552210786359 0.0999998796214765
157 0.8194695840417904 -0.22879891 -0.9700107090637553 -0.93001074 1.0482684950172465 0.03999997307513836
158 1.0689419832363143 -0.22466093 -0.9538226435746915 -0.99382263 1.293602916254045 -0.039999990645431804
159 1.2114856096618445 -0.21990913 -1.0047262672584056 -1.0447263 1.4313947411887915 -0.03999998529744153
160 1.3105543282754017 -0.21433367 -1.1537761209069317 -1.0937762 1.5248879966265751 0.05999989486323054
161 1.4076098451170398 -0.20763099 -1.1419854306186192 -1.1819854 1.6152408370527698 -0.039999947646761624
162 1.4664989975756177 -0.20125756 -1.1917769170083372 -1.2717768 1.6677565542524824 -0.07999987837893086
163 1.5085822564898226 -0.19535643 -1.1835254995238285 -1.2835253 1.703938685113022 -0.0999998481858273
164 1.5330168472037502 -0.19022864 -1.1441352553939759 -1.0441353 1.7232454882369228 0.09999992328643192
165 1.5426517713859045 1.5357771 -1.188118527177845 -1.2881185 0.006874679405924011 -0.09999995445820242
166 1.5529280893643826 1.5360355 -1.147126328028277 -1.0471264 0.016892551644656084 0.09999991563661448
167 1.5558724720664125 1.5362921 -1.2997603205696795 -1.1997604 0.019580395955572705 0.09999988355796074
168 1.5717996901705513 1.5365317 -1.2797948587573467 -1.1797949 0.03526800338771441 0.09999995118746141
169 1.5813195647911131 1.5367591 -1.295625859769279 -1.1956259 0.044560426683813326 0.0999999585470499
170 1.5875033494070943 1.5369737 -1.2866940870373937 -1.1866941 0.050529634578603044 0.09999994183475702
171 1.5907141005025456 1.5371759 -1.2723408341904365 -1.172341 0.053538206718976245 0.09999984507758253
172 1.5919133281187157 1.5373693 -1.2778602082627564 -1.1778603 0.05454407686749496 0.09999994825299074
173 1.5927941832266495 1.5375547 -1.2789890680385247 -1.1789892 0.05523944232088773 0.09999989605671322
174 1.593448792882415 1.5376036 0.041576481184529376 0.14157647 0.055845176167937494 0.09999998776002018
175 1.3860120205312765 1.36899 0.048736687237260226 -0.05126331 0.017022076073268666 -0.0999999972524618
176 0.9749723015909186 1.3691518 0.011118779473846846 -0.08888121 -0.39417952908229914 -0.09999998896653026
177 0.6368033824476793 1.3693001 0.06347405828703465 -0.036525935 -0.7324967445817396 -0.09999999322165073
178 0.3323465093152318 1.3693917 0.011468346712748857 -0.08853164 -1.0370451704485621 -0.09999998986498579
179 0.16595540905370193 1.369416 0.05245461979039737 -0.047545373 -1.2034605894051604 -0.09999999323018618
180 0.013044528633586908 1.3694003 0.04878916293115696 -0.051210836 -1.3563557341990546 -0.09999999850721439
181 -0.09642926431381708 1.3696783 -1.337466482117133 -1.4374664 -1.4661075232096912 -0.09999990086321375
182 0.55259173530809 1.3698788 -1.353676042473909 -1.453676 -0.8172870336128084 -0.09999994286239478
183 1.0727534410084953 1.3701046 -1.321675357391491 -1.4216752 -0.29735111030681227 -0.09999984783922189
184 1.3407907565636954 1.3703697 -1.3292308758885851 -1.4292308 -0.02957891621157316 -0.09999993332314583
185 1.4732953719927242 1.4695134 -1.3462583727912147 -1.2462585 0.0037819557024409978 0.09999987555305556
186 1.5396315310915223 1.4699011 -1.3222301285374578 -1.2222302 0.06973044619161994 0.0999999325383123
187 1.569152359806705 1.4702373 -1.333866179796522 -1.2338663 0.09891510471026943 0.09999984583503507
188 1.5841038264416751 1.4704032 -0.04281878240268489 0.057181217 0.1137006320141849 0.09999999917905589
189 1.4200849426973603 1.4705422 0.012088922025186195 -0.08791107 -0.05045724976174615 -0.09999999141834415
190 1.0669824085475172 1.4706507 0.004480875745373221 -0.09551911 -0.4036682643650804 -0.09999998630579039
191 0.7317281728153837 1.4707375 -0.026876212566611622 -0.1268762 -0.7390092844600069 -0.09999999263930573
192 0.5349840846538089 1.4708011 0.01125316295636557 -0.08874682 -0.9358170303822019 -0.09999998632682226
193 0.33447916428790253 1.4708512 -0.02496996822373278 -0.12496995 -1.1363720186497195 -0.09999998358471983
194 0.2539651294054974 1.470887 -0.018237480750192263 -0.118237466 -1.2169218163189899 -0.09999998486984862
195 0.20913042472321894 0.23586959 0.014954025171579972 -0.08504596 -0.02673916174452398 -0.09999998869735206
196 0.10272449994800668 0.23665181 -0.022466430858760066 0.07753356 -0.13392730807544606 0.09999998886981507
197 0.09301528565848625 0.23753008 0.002937895200271077 0.10293788 -0.14451479680573187 0.09999998197792107
198 0.04462327991844946 0.23841614 -0.006492883125197453 0.0935071 -0.19379285539267727 0.09999998674715714
199 0.03164785265588103 0.23926455 -0.043553222015424706 0.056446776 -0.2076166951689786 0.09999999780945394
200 0.06389980432378484 0.24014297 -0.020644714305283043 0.07935528 -0.1762431669534521 0.09999999142635009
201 0.08275880312885824 0.24105063 0.010997561390187087 0.11099755 -0.15829182767901834 0.09999998879930799
202 0.023206260058198154 0.23690554 -1.3594919581270466 -1.259492 -0.21369928493806345 0.09999991844656564
203 0.6498742208500484 0.23227417 -1.3297833614120582 -1.4097832 0.41760004615980184 -0.07999988272093739
204 1.1189358981858162 0.2276623 -1.3404713389826757 -1.4004713 0.8912736030827431 -0.059999990706350204
205 1.3673666828975009 1.3572421 -1.3092251573299025 -1.3892251 0.01012457550614343 -0.07999996798290265
206 1.4832712090118583 1.3578165 -1.3281260305932352 -1.2281262 0.12545475126344519 0.0999998623421976
207 1.5416558835878276 1.3580859 -1.2964904968056328 -1.1964906 0.18357001284502972 0.0999998513970024
208 1.5674408734624194 1.3582122 -1.3283191984392733 -1.2283193 0.20922864087269777 0.0999999111391634
